epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.17,1.82805,5.09463,0.01479,0.02242,0.53134,0.10977,0.0805,1.03679,7.36981,0.01787,0.00022,0.00022,0.00022
2,193.63,1.44173,4.78693,0.01187,0.00799,0.72436,0.16868,0.12798,0.96537,7.12,0.01472,0.00043515,0.00043515,0.00043515
3,288.765,1.38581,4.3272,0.01165,0.0052,0.7582,0.25373,0.16472,0.98439,6.96735,0.0174,0.00063512,0.00063512,0.00063512
4,377.76,1.39149,3.94622,0.01091,0.65546,0.15242,0.38902,0.24679,1.08864,6.32967,0.02211,0.00081991,0.00081991,0.00081991
5,467.896,1.36553,3.58423,0.01115,0.4333,0.44186,0.44687,0.29786,1.27982,6.2467,0.02737,0.000868,0.000868,0.000868
6,558.499,1.38506,3.52094,0.01145,0.35452,0.51256,0.41246,0.27464,1.23988,6.06116,0.02399,0.000835,0.000835,0.000835
7,649,1.42064,3.40286,0.01243,0.49345,0.50389,0.46089,0.27968,1.17357,6.00007,0.02311,0.000802,0.000802,0.000802
8,738.095,1.42006,3.3494,0.01224,0.35104,0.54827,0.48306,0.29168,1.28988,5.67744,0.02816,0.000769,0.000769,0.000769
9,831.401,1.38605,3.16704,0.01242,0.547,0.47587,0.54306,0.36921,1.2435,5.23312,0.0246,0.000736,0.000736,0.000736
10,929.688,1.39883,3.21951,0.01313,0.47229,0.5797,0.56203,0.37444,1.23013,4.98269,0.02596,0.000703,0.000703,0.000703
11,1025.3,1.40349,2.88753,0.01133,0.57574,0.52592,0.57331,0.37938,1.26135,4.8192,0.02696,0.00067,0.00067,0.00067
12,1121.25,1.32794,2.96215,0.01229,0.703,0.41267,0.54708,0.36356,1.32094,4.90828,0.03019,0.000637,0.000637,0.000637
13,1214.67,1.31783,2.84278,0.0128,0.61632,0.41583,0.52946,0.35388,1.21901,4.68788,0.02642,0.000604,0.000604,0.000604
14,1349.25,1.32293,2.877,0.01255,0.5597,0.53246,0.56236,0.38134,1.25276,4.48726,0.02736,0.000571,0.000571,0.000571
15,1474.75,1.31086,2.59106,0.01118,0.55198,0.59284,0.6069,0.42047,1.24767,4.35291,0.02711,0.000538,0.000538,0.000538
16,1597.48,1.356,2.61697,0.01192,0.66016,0.55728,0.66887,0.45778,1.27257,4.3236,0.02687,0.000505,0.000505,0.000505
17,1719.41,1.28137,2.48543,0.01053,0.77004,0.56376,0.70211,0.48637,1.26132,4.2069,0.02733,0.000472,0.000472,0.000472
18,1835.78,1.28261,2.32725,0.00957,0.69453,0.63906,0.70582,0.48495,1.21075,3.99053,0.0249,0.000439,0.000439,0.000439
19,1963.98,1.29119,2.39715,0.01048,0.66096,0.61382,0.69313,0.50295,1.13488,3.95016,0.0236,0.000406,0.000406,0.000406
20,2126.73,1.21098,2.29822,0.01051,0.73153,0.59289,0.65913,0.48053,1.12661,3.89799,0.02397,0.000373,0.000373,0.000373
21,2286.34,1.24639,3.55873,0.01471,0.64834,0.53189,0.64039,0.44698,1.14587,3.85189,0.0246,0.00034,0.00034,0.00034
22,2495.7,1.27682,3.21199,0.0143,0.61105,0.58386,0.63644,0.44212,1.1709,3.90155,0.02495,0.000307,0.000307,0.000307
23,2655.06,1.18075,3.37768,0.01344,0.64898,0.54997,0.62023,0.44465,1.12453,3.82719,0.02336,0.000274,0.000274,0.000274
24,2786.5,1.10738,3.05037,0.01207,0.7046,0.49383,0.65939,0.47185,1.11145,3.75364,0.02211,0.000241,0.000241,0.000241
25,2908.33,1.18757,3.08737,0.01319,0.73742,0.5552,0.6514,0.4665,1.13491,3.69144,0.02193,0.000208,0.000208,0.000208
26,3023.08,1.15131,3.03985,0.01237,0.82077,0.5494,0.67637,0.49173,1.14042,3.62257,0.02209,0.000175,0.000175,0.000175
27,3144.22,1.1621,3.12688,0.01376,0.76205,0.56949,0.68437,0.49357,1.17316,3.60862,0.02322,0.000142,0.000142,0.000142
28,3274.82,1.1533,2.96097,0.01269,0.5607,0.71616,0.68306,0.49454,1.17701,3.58406,0.02319,0.000109,0.000109,0.000109
29,3407.29,1.20193,2.90949,0.01282,0.56648,0.68405,0.68194,0.4961,1.15618,3.55641,0.0226,7.6e-05,7.6e-05,7.6e-05
30,3553.35,1.19163,2.83958,0.0118,0.57055,0.70726,0.6946,0.5028,1.1554,3.53768,0.02308,4.3e-05,4.3e-05,4.3e-05
