epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.0993,1.71994,3.81037,1.64319,0.00546,0.75304,0.39484,0.25829,1.06844,3.81256,1.388,0.00022,0.00022,0.00022
2,182.098,1.5518,2.99687,1.4713,1,0.11916,0.50338,0.30387,1.33371,3.10171,1.5684,0.000445545,0.000445545,0.000445545
3,276.075,1.55067,2.24879,1.49764,0.55303,0.54829,0.56119,0.33721,1.28036,2.66559,1.54598,0.000666536,0.000666536,0.000666536
4,376.481,1.54405,2.06037,1.4658,0.48663,0.51209,0.48865,0.28046,1.56672,2.66147,1.79853,0.000882973,0.000882973,0.000882973
5,476.354,1.45189,2.00627,1.40382,0.67142,0.58306,0.60962,0.36236,1.31711,3.5199,1.67001,0.0009604,0.0009604,0.0009604
6,580.408,1.45237,1.8553,1.406,0.64057,0.5572,0.63385,0.34481,1.4575,3.55845,1.88669,0.0009505,0.0009505,0.0009505
7,671.442,1.50465,1.88693,1.43179,0.55821,0.67958,0.61201,0.36701,1.35865,2.16864,1.66106,0.0009406,0.0009406,0.0009406
8,745.661,1.46998,1.91575,1.40904,0.57873,0.64644,0.64978,0.37244,1.3898,2.29048,1.70388,0.0009307,0.0009307,0.0009307
9,826.427,1.4228,1.73941,1.39314,0.60195,0.49191,0.54288,0.28664,1.58152,2.92192,1.87647,0.0009208,0.0009208,0.0009208
10,915.769,1.44088,1.7402,1.4152,0.76057,0.49088,0.6504,0.36625,1.45938,2.30746,1.77379,0.0009109,0.0009109,0.0009109
