epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1167.07,1.17675,3.56412,0.0087,0.52571,0.58721,0.58626,0.46793,0.90985,4.51957,0.01581,0.00036887,0.00036887,0.00036887
2,2412.03,1.10086,2.26476,0.00868,0.67929,0.66821,0.72831,0.54086,0.93476,3.2115,0.01738,0.000714809,0.000714809,0.000714809
3,3741.96,1.10248,1.82458,0.00936,0.68276,0.72364,0.76749,0.57106,0.93962,2.1931,0.01903,0.00103631,0.00103631,0.00103631
4,5046.17,1.09639,1.46263,0.00906,0.77797,0.75943,0.83385,0.60119,1.00275,1.44141,0.02205,0.00100101,0.00100101,0.00100101
5,6377.24,1.06103,1.24882,0.00876,0.81293,0.76485,0.86344,0.64686,0.91023,1.1922,0.01798,0.000964348,0.000964348,0.000964348
6,7644.91,1.04697,1.1106,0.00852,0.84488,0.78156,0.87866,0.68974,0.82251,0.93622,0.01564,0.000927685,0.000927685,0.000927685
7,8688.05,1.02862,1.02686,0.00875,0.82344,0.85049,0.89522,0.68453,0.90477,0.8335,0.01859,0.000891022,0.000891022,0.000891022
8,9988.87,1.00448,0.95346,0.00862,0.85457,0.84663,0.90283,0.71333,0.84956,0.77059,0.0169,0.000854359,0.000854359,0.000854359
9,11201.6,0.99677,0.90238,0.00807,0.90437,0.82868,0.92054,0.7066,0.8789,0.69318,0.01817,0.000817696,0.000817696,0.000817696
10,12277,0.97686,0.87407,0.0079,0.84693,0.86028,0.90694,0.7246,0.79053,0.68449,0.01548,0.000781033,0.000781033,0.000781033
11,13396.7,0.95176,0.81523,0.00765,0.83544,0.86141,0.9068,0.74706,0.77494,0.68385,0.01374,0.00074437,0.00074437,0.00074437
12,14439.5,0.93897,0.81023,0.00754,0.91616,0.81237,0.92662,0.76776,0.74346,0.62831,0.01306,0.000707707,0.000707707,0.000707707
13,15466.7,0.94272,0.7738,0.00739,0.89963,0.84923,0.93168,0.7621,0.76241,0.56815,0.01453,0.000671044,0.000671044,0.000671044
14,16493.2,0.90459,0.72521,0.0071,0.8955,0.87352,0.93848,0.76815,0.75705,0.53374,0.01438,0.000634381,0.000634381,0.000634381
15,17515.4,0.91265,0.70968,0.00735,0.89678,0.87863,0.91756,0.76095,0.75225,0.55064,0.01417,0.000597718,0.000597718,0.000597718
16,18540.5,0.89596,0.70299,0.0069,0.89565,0.86671,0.93923,0.78273,0.731,0.50142,0.01318,0.000561055,0.000561055,0.000561055
17,19563.9,0.87357,0.66178,0.00699,0.906,0.87791,0.92966,0.77411,0.7028,0.52809,0.01218,0.000524392,0.000524392,0.000524392
18,20646.5,0.84866,0.63085,0.00688,0.89555,0.85896,0.9322,0.78529,0.68587,0.50604,0.01161,0.000487729,0.000487729,0.000487729
19,21801.3,0.87268,0.65039,0.0069,0.90523,0.85759,0.93338,0.79365,0.68173,0.49518,0.01146,0.000451066,0.000451066,0.000451066
20,22836.9,0.84851,0.61117,0.00627,0.90334,0.8843,0.94549,0.80399,0.69457,0.4641,0.01219,0.000414403,0.000414403,0.000414403
21,23981.8,0.78502,0.48969,0.00846,0.91728,0.85824,0.9312,0.78332,0.71591,0.47069,0.0128,0.00037774,0.00037774,0.00037774
22,24974.3,0.75944,0.4879,0.00779,0.91637,0.87125,0.9397,0.80117,0.67493,0.48215,0.01154,0.000341077,0.000341077,0.000341077
23,26330.1,0.73157,0.46266,0.00765,0.92907,0.87863,0.94727,0.80032,0.70472,0.44515,0.01276,0.000304414,0.000304414,0.000304414
24,27598.4,0.7201,0.44912,0.00738,0.90873,0.8927,0.9467,0.81508,0.65408,0.43305,0.01049,0.000267751,0.000267751,0.000267751
25,28696.1,0.72408,0.43496,0.00676,0.91279,0.88899,0.95141,0.82826,0.63031,0.41063,0.01008,0.000231088,0.000231088,0.000231088
26,29755.8,0.70282,0.42005,0.00657,0.93083,0.86058,0.9521,0.83095,0.62457,0.41812,0.00977,0.000194425,0.000194425,0.000194425
27,30782.9,0.69219,0.40403,0.00671,0.92904,0.87879,0.95235,0.83374,0.61993,0.39523,0.00967,0.000157762,0.000157762,0.000157762
28,31909.8,0.67575,0.40415,0.00629,0.91617,0.90901,0.95479,0.84429,0.60011,0.37263,0.00904,0.000121099,0.000121099,0.000121099
29,33217.2,0.68626,0.40309,0.00617,0.93424,0.89381,0.95661,0.84156,0.6098,0.37575,0.00934,8.4436e-05,8.4436e-05,8.4436e-05
30,34542.4,0.6828,0.38666,0.00612,0.9307,0.89458,0.95577,0.84322,0.59895,0.38695,0.0091,4.7773e-05,4.7773e-05,4.7773e-05
